method_name, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
FeNeC-Log, 98.6, 95.7, 93.86666666666666, 91.925, 90.92, 89.8, 88.91428571428571, 88.02499999999999, 87.94444444444444, 87.28
FeNeC-Log, 94.8, 94.85, 94.03333333333333, 93.075, 91.86, 91.26666666666667, 89.85714285714286, 88.375, 87.55555555555556, 87.14
FeNeC-Log, 96.7, 93.89999999999999, 92.66666666666666, 91.625, 90.36, 89.68333333333334, 89.05714285714285, 88.5, 87.87777777777778, 87.2

FeNeC, 98.70000457763672, 95.70000457763672, 93.73333740234376, 91.97500610351562, 90.97999572753906, 89.98332977294922, 89.04285430908203, 88.03750610351562, 87.94445037841797, 87.16999816894531
FeNeC, 94.60000610351562, 94.75000762939452, 94.0, 92.82500457763672, 91.67999267578124, 91.0999984741211, 89.71427917480469, 88.5875015258789, 87.67778015136719, 87.16999816894531
FeNeC, 96.8000030517578, 94.25000762939452, 93.0999984741211, 91.5500030517578, 90.0999984741211, 89.5999984741211, 89.05714416503906, 88.67500305175781, 87.82221984863281, 87.16999816894531

FeCAM, 97.8999969999999990, 94.8499979999999994, 92.3666659999999951, 90.3999980000000107, 89.2799969999999945, 88.3000020000000063, 87.5142869999999959, 86.5999999999999943, 86.5666689999999903, 85.6700000000000017
FeCAM, 93.0999994277954102, 93.0000007152557373, 92.4666643142700195, 91.3250029087066650, 90.2199983596801758, 89.6333336830139160, 88.3571445941925049, 86.8624985218048096, 86.0555529594421387, 85.6700003147125244
FeCAM, 96.1000025272369385, 92.3500001430511475, 91.1333322525024414, 89.7750020027160645, 88.4400010108947754, 88.0833327770233154, 87.3857140541076660, 86.9000017642974854, 86.3111138343811035, 85.6700003147125244