method_name, 1, 2, 3, 4, 5, 6
FeLoC, 68.47999999999999, 62.983333333333334, 61.07142857142858, 58.8, 55.96666666666666, 53.16
FeLoC, 69.98, 65.01666666666667, 61.285714285714285, 58.587500000000006, 55.92222222222222, 52.88
FeLoC, 69.22, 64.4, 61.12857142857143, 57.599999999999994, 55.15555555555556, 52.559999999999995

FeNeC, 68.68000030517578, 63.033329010009766, 61.18571090698242, 58.79999923706055, 55.76666641235352, 53.17000198364258
FeNeC, 69.54000091552734, 64.91666412353516, 61.371429443359375, 58.775001525878906, 56.11111068725586, 53.04999923706055
FeNeC, 68.77999877929688, 64.05000305175781, 60.92856979370117, 57.58750534057617, 55.11111068725586, 52.57999801635742


FeCAM, 68.48, 62.55, 60.7, 58.1, 55.13333333333333, 52.49
FeCAM, 69.7, 64.83333333333333, 61.27142857142857, 58.8125, 56.022222222222226, 53.04
FeCAM, 69.36, 64.43333333333334, 60.98571428571429, 57.4625, 54.84444444444444, 52.36